DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2022-0001-CHN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,CHN,China,Eastern Asia,Asia,Bijie City (Guizhou Province),,,No,No,No,,,,,,,2022,1,3,2022,1,3,13,3,,,3,,,,,,,93.29460735,"[{""adm2_code"":13068,""adm2_name"":""Bijie""}]",2022-01-04,2023-09-25
2022-0002-IRN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000002,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Kerman, Fars, Khuzestan, Hormozgan, Bushehr, Sistan and Baluchestan",Heavy rains,,No,No,No,,,Km2,,,,2022,1,1,2022,1,4,6,14,20000,,20014,,,,,,,93.29460735,"[{""adm1_code"":1540,""adm1_name"":""Bushehr""},{""adm1_code"":1544,""adm1_name"":""Fars""},{""adm1_code"":1548,""adm1_name"":""Hormozgan""},{""adm1_code"":1550,""adm1_name"":""Kerman""},{""adm1_code"":1551,""adm1_name"":""Khuzestan""},{""adm1_code"":1559,""adm1_name"":""Sistan-o baluchestan""}]",2022-01-05,2023-09-25
2022-0007-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,"Maryland, Virginia, New Jersey, Washington D.C., Missouri, Tennessee, Georgia",,Cold wave,No,No,Yes,,,Kph,,,,2022,1,2,2022,1,3,5,,,,,,,,,525000,562733,93.29460735,"[{""adm1_code"":3222,""adm1_name"":""District of Columbia""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3260,""adm1_name"":""Virginia""},{""adm1_code"":3261,""adm1_name"":""Washington""}]",2022-01-07,2023-09-25
2022-0009-ZAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,Eastern Cape Province,Heavy rains,,No,No,No,,,Km2,,,,2022,1,8,2022,1,9,10,,,,,,,,,70000,75031,93.29460735,"[{""adm1_code"":77310,""adm1_name"":""Eastern Cape""}]",2022-01-12,2023-09-25
2022-0011-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000006,,IDN,Indonesia,South-eastern Asia,Asia,Jayapura City (Papua Province); East Java,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,10,2022,1,11,10,,6500,,6500,,,,,,,93.29460735,"[{""adm2_code"":73685,""adm2_name"":""Jayapura""}]",2022-01-12,2025-06-25
2022-0013-FJI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Cody',FJI,Fiji,Melanesia,Oceania,"Tavua Town, Nadi City (Viti Levu)",,Flood,No,No,No,,74,Kph,,,,2022,1,8,2022,1,11,1,,69564,,69564,,,,,25000,26797,93.29460735,"[{""adm2_code"":40203,""adm2_name"":""Ba""}]",2022-01-12,2025-03-18
2022-0014-PAK,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,PAK,Pakistan,Southern Asia,Asia,Punjab Province,,Cold wave|Snow/ice,No,No,No,,,Kph,,,,2022,1,7,2022,1,8,22,,,,,,,,,,,93.29460735,"[{""adm1_code"":2276,""adm1_name"":""Punjab""}]",2022-01-12,2023-09-25
2022-0020-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,Minas Gerais,"Heavy rains, La Nina","Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,1,2022,1,14,15,32,,,32,,,,,90000,96469,93.29460735,"[{""adm1_code"":677,""adm1_name"":""Minas Gerais""}]",2022-01-12,2023-09-25
2022-0032-MDG,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MDG,Madagascar,Sub-Saharan Africa,Africa,Antananarivo (Analamanga Region),Tropical Storm named Ana,"Lightening|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,1,17,2022,1,18,34,2,62112,,62114,,,,,,,93.29460735,"[{""adm2_code"":154522,""adm2_name"":""Antananarivo Atsimondrano""}]",2022-01-19,2023-09-25
2022-0034-SYR,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,SYR,Syrian Arab Republic,Western Asia,Asia,Afrin and Azaz district (Aleppo Governorate) and Harim district (Idleb Governorate),,Cold wave,No,No,No,,,Kph,,,,2022,1,18,2022,1,25,2,,362700,,362700,,,,,,,93.29460735,"[{""adm2_code"":26313,""adm2_name"":""A'zaz""},{""adm2_code"":26314,""adm2_name"":""Afrin""},{""adm2_code"":26364,""adm2_name"":""Harim""}]",2022-01-20,2023-09-25
