"caseid","weight","wave","state","district","n7ay23","n7by23","n7cy23","n7dy23","n7ey23","n7fy23","n7gy23","n7hy23","n7iy23","n7ky23","n7ly23","urban","gender","age","caste","n7ay23_recode","n7by23_recode","n7cy23_recode","n7dy23_recode","n7ey23_recode","n7fy23_recode","n7gy23_recode","n7hy23_recode","n7iy23_recode","n7ky23_recode","n7ly23_recode","state_district_survey"
10001,0.84054728184,2024,"NE","East Khasi Hills","Not at all worried","Very worried","Not at all worried","Very worried","Very worried","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Very worried","Urban","Male","18-29","Scheduled Castes/Tribes",0,1,0,1,1,0,0,0,0,1,1,"NE, East Khasi Hills"
10002,1.36088607536,2024,"UT","Leh","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","45+","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,1,1,1,"UT, Leh"
10003,0.64041697664,2024,"UT","Daman & Diu","Not at all worried","Very worried","Moderately worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Moderately worried","Rural","Male","30-44","Other Castes",0,1,0,1,0,1,1,1,0,1,0,"UT, Daman & Diu"
10004,0.57037136982,2024,"UT","Kargil","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,0,1,0,1,"UT, Kargil"
10005,0.99064501074,2024,"NE","East Sikkim","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Not very worried","Rural","Female","18-29","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"NE, East Sikkim"
10006,1.37089259062,2024,"Gujarat","Ahmedabad","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Urban","Male","18-29","Other Castes",1,0,1,1,1,0,1,1,0,0,0,"Gujarat, Ahmedabad"
10007,0.67043652242,2024,"Gujarat","Bharuch","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","18-29","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Bharuch"
10008,0.76049515976,2024,"UT","Leh","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Male","18-29","Other Castes",1,1,1,1,1,1,1,1,1,0,1,"UT, Leh"
10009,0.6504234919,2024,"Gujarat","Patan","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","18-29","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Patan"
10010,0.61039743086,2024,"Gujarat","Surat","Not at all worried","Very worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Urban","Male","45+","Other Castes",0,1,0,0,0,0,0,0,0,0,0,"Gujarat, Surat"
10011,5.32346611832,2024,"UT","Kargil","Very worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Rural","Male","45+","Other Castes",1,0,0,1,0,1,1,0,1,1,1,"UT, Kargil"
10012,0.46029970196,2024,"NE","Mokokchung","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Moderately worried","Rural","Male","30-44","Other Castes",1,0,1,1,1,0,0,1,0,1,0,"NE, Mokokchung"
10013,0.86056031236,2024,"Gujarat","Tapi","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Scheduled Castes/Tribes",1,1,0,1,1,1,1,1,1,1,1,"Gujarat, Tapi"
10014,0.7504886445,2024,"NE","Imphal West","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","45+","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"NE, Imphal West"
10016,0.7504886445,2024,"NE","West Sikkim","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Rural","Male","45+","Other Castes",0,0,0,1,0,0,0,0,0,0,0,"NE, West Sikkim"
10017,0.34022151884,2024,"UT","Pondicherry","Don't know","Very worried","Not at all worried","Not at all worried","Very worried","Very worried","Very worried","Not at all worried","Don't know","Not at all worried","Very worried","Urban","Male","30-44","Other Castes",0,1,0,0,1,1,1,0,0,0,1,"UT, Pondicherry"
10018,1.0506841023,2024,"NE","Ri Bhoi","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","18-29","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"NE, Ri Bhoi"
10020,1.99129653674,2024,"NE","West Garo Hills","Moderately worried","Not at all worried","Very worried","Moderately worried","Moderately worried","Not very worried","Very worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Rural","Male","18-29","Other Castes",0,0,1,0,0,0,1,0,0,0,0,"NE, West Garo Hills"
10021,1.08070364808,2024,"NE","West Garo Hills","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Urban","Male","45+","Other Castes",0,1,0,0,0,1,1,1,0,0,0,"NE, West Garo Hills"
10022,0.46029970196,2024,"UT","Pondicherry","Very worried","Not very worried","Not at all worried","Not at all worried","Very worried","Don't know","Very worried","Not at all worried","Very worried","Not at all worried","Very worried","Urban","Male","45+","Other Castes",1,0,0,0,1,0,1,0,1,0,1,"UT, Pondicherry"
10023,0.81052773606,2024,"NE","West Garo Hills","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Rural","Male","18-29","Scheduled Castes/Tribes",0,0,0,0,1,0,0,0,0,0,0,"NE, West Garo Hills"
10024,0.9005863734,2024,"NE","North Garo Hills","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Rural","Male","18-29","Other Castes",0,1,0,0,0,0,0,1,0,0,0,"NE, North Garo Hills"
10025,0.53034530878,2024,"NE","South West Garo Hills","Very worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Don't know","Very worried","Very worried","Very worried","Urban","Male","18-29","Other Castes",1,1,1,0,1,1,1,0,1,1,1,"NE, South West Garo Hills"
10027,0.51033227826,2024,"UT","Pondicherry","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Rural","Male","45+","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"UT, Pondicherry"
10028,0.500325763,2024,"UT","Daman & Diu","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Not at all worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,0,0,1,"UT, Daman & Diu"
10029,0.47030621722,2024,"NE","Imphal West","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",0,0,1,1,1,0,1,0,0,0,1,"NE, Imphal West"
10030,0.82053425132,2024,"UT","Daman & Diu","Very worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Refused","Moderately worried","Not at all worried","Moderately worried","Rural","Male","45+","Other Castes",1,1,0,0,0,0,1,0,0,0,0,"UT, Daman & Diu"
10031,0.37024106462,2024,"NE","Imphal West","Very worried","Very worried","Very worried","Not very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","30-44","Other Castes",1,1,1,0,1,0,0,1,1,1,1,"NE, Imphal West"
10032,0.46029970196,2024,"NE","Imphal West","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","30-44","Other Castes",0,1,1,1,0,1,1,1,1,1,1,"NE, Imphal West"
10034,0.9005863734,2024,"NE","Khomia","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",0,0,0,1,1,0,1,0,0,0,1,"NE, Khomia"
10035,0.500325763,2024,"NE","Dimapur","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Not at all worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Urban","Male","45+","Other Castes",0,1,0,1,1,0,1,0,0,0,1,"NE, Dimapur"
