"GeoName","GeoID","state","zone","n","cellpred_n","pred_prop","pred_per","national_per","pred_per_diff"
"Jammu & Kashmir, Kupwara","01001","Jammu & Kashmir","Northern",435690,291857.869806837,0.66987507128196,66.987507128196,57.0357133022312,9.95179382596483
"Jammu & Kashmir, Badgam","01002","Jammu & Kashmir","Northern",397371,237676.615660236,0.598122700600284,59.8122700600284,57.0357133022312,2.77655675779723
"Jammu & Kashmir, Punch","01005","Jammu & Kashmir","Northern",268157,202453.58973019,0.754981558304241,75.4981558304241,57.0357133022312,18.4624425281929
"Jammu & Kashmir, Rajauri","01006","Jammu & Kashmir","Northern",374106,187173.222325745,0.500321358988481,50.0321358988481,57.0357133022312,-7.00357740338311
"Jammu & Kashmir, Kathua","01007","Jammu & Kashmir","Northern",390967,244689.811237741,0.625857965602572,62.5857965602572,57.0357133022312,5.55008325802603
"Jammu & Kashmir, Baramula","01008","Jammu & Kashmir","Northern",592051,465764.388887447,0.786696397586435,78.6696397586435,57.0357133022312,21.6339264564123
"Jammu & Kashmir, Bandipura","01009","Jammu & Kashmir","Northern",225664,176001.916469198,0.779929082481913,77.9929082481913,57.0357133022312,20.9571949459601
"Jammu & Kashmir, Srinagar","01010","Jammu & Kashmir","Northern",831919,703140.220428474,0.845202742608925,84.5202742608925,57.0357133022312,27.4845609586613
"Jammu & Kashmir, Ganderbal","01011","Jammu & Kashmir","Northern",167646,117958.860554794,0.703618699848457,70.3618699848457,57.0357133022312,13.3261566826145
"Jammu & Kashmir, Pulwama","01012","Jammu & Kashmir","Northern",342744,256868.139203976,0.749446056543589,74.9446056543589,57.0357133022312,17.9088923521277
"Jammu & Kashmir, Shupiyan","01013","Jammu & Kashmir","Northern",156035,70829.5572939677,0.45393377956207,45.393377956207,57.0357133022312,-11.6423353460241
"Jammu & Kashmir, Anantnag","01014","Jammu & Kashmir","Northern",588704,374547.492725997,0.636223794514725,63.6223794514725,57.0357133022312,6.5866661492413
"Jammu & Kashmir, Kulgam","01015","Jammu & Kashmir","Northern",249391,104150.335018218,0.417618659126505,41.7618659126505,57.0357133022312,-15.2738473895807
"Jammu & Kashmir, Doda","01016","Jammu & Kashmir","Northern",234398,158674.428884938,0.676944465758829,67.6944465758829,57.0357133022312,10.6587332736517
"Jammu & Kashmir, Ramban","01017","Jammu & Kashmir","Northern",153216,124057.096791098,0.809687609591019,80.9687609591019,57.0357133022312,23.9330476568707
"Jammu & Kashmir, Kishtwar","01018","Jammu & Kashmir","Northern",131570,97525.582531822,0.741244831890415,74.1244831890415,57.0357133022312,17.0887698868103
"Jammu & Kashmir, Udhampur","01019","Jammu & Kashmir","Northern",340398,252294.036961177,0.741173675994505,74.1173675994505,57.0357133022312,17.0816542972193
"Jammu & Kashmir, Riasi","01020","Jammu & Kashmir","Northern",177954,73106.3039997138,0.410815738897208,41.0815738897208,57.0357133022312,-15.9541394125104
"Jammu & Kashmir, Jammu","01021","Jammu & Kashmir","Northern",1060773,572143.740289502,0.539364916235144,53.9364916235144,57.0357133022312,-3.09922167871681
"Jammu & Kashmir, Samba","01022","Jammu & Kashmir","Northern",212894,126572.196097981,0.5945315325842,59.45315325842,57.0357133022312,2.41743995618883
"Himachal Pradesh, Chamba","02023","Himachal Pradesh","Northern",327857,256118.959808597,0.781191067473309,78.1191067473309,57.0357133022312,21.0833934450997
"Himachal Pradesh, Kangra","02024","Himachal Pradesh","Northern",1048544,809472.342710412,0.771996542548917,77.1996542548918,57.0357133022312,20.1639409526606
"Himachal Pradesh, Lahul & Spiti","02025","Himachal Pradesh","Northern",22416,19014.2394803943,0.848244088168911,84.8244088168911,57.0357133022312,27.7886955146599
"Himachal Pradesh, Kullu","02026","Himachal Pradesh","Northern",295684,217741.339178812,0.736398787823527,73.6398787823527,57.0357133022312,16.6041654801215
"Himachal Pradesh, Mandi","02027","Himachal Pradesh","Northern",684092,370274.006028561,0.541263464604996,54.1263464604996,57.0357133022312,-2.90936684173156
"Himachal Pradesh, Hamirpur","02028","Himachal Pradesh","Northern",318485,211759.351462897,0.66489583956198,66.489583956198,57.0357133022312,9.45387065396681
