"state23","st_code","dist23","di_code","st_di23","GeoName","GEOID"
"GUJARAT","24","MORBI","673","GUJARAT, MORBI","GUJARAT, MORBI","x24673"
"GUJARAT","24","AHMADABAD","438","GUJARAT, AHMADABAD","GUJARAT, AHMADABAD","x24438"
"GUJARAT","24","ANAND","440","GUJARAT, ANAND","GUJARAT, ANAND","x24440"
"GUJARAT","24","DEVBHUMI DWARKA","674","GUJARAT, DEVBHUMI DWARKA","GUJARAT, DEVBHUMI DWARKA","x24674"
"GUJARAT","24","JAMNAGAR","447","GUJARAT, JAMNAGAR","GUJARAT, JAMNAGAR","x24447"
"GUJARAT","24","KACHCHH","449","GUJARAT, KACHCHH","GUJARAT, KACHCHH","x24449"
"GUJARAT","24","BHAVNAGAR","443","GUJARAT, BHAVNAGAR","GUJARAT, BHAVNAGAR","x24443"
"GUJARAT","24","BHARUCH","442","GUJARAT, BHARUCH","GUJARAT, BHARUCH","x24442"
"GUJARAT","24","SURAT","459","GUJARAT, SURAT","GUJARAT, SURAT","x24459"
"GUJARAT","24","NAVSARI","453","GUJARAT, NAVSARI","GUJARAT, NAVSARI","x24453"
"GUJARAT","24","VALSAD","462","GUJARAT, VALSAD","GUJARAT, VALSAD","x24462"
"MADHYA PRADESH","23","AGAR MALWA","667","MADHYA PRADESH, AGAR MALWA","MADHYA PRADESH, AGAR MALWA","x23667"
"UTTAR PRADESH","09","AGRA","118","UTTAR PRADESH, AGRA","UTTAR PRADESH, AGRA","x09118"
"RAJASTHAN","08","AJMER","086","RAJASTHAN, AJMER","RAJASTHAN, AJMER","x08086"
"KERALA","32","ALAPPUZHA","554","KERALA, ALAPPUZHA","KERALA, ALAPPUZHA","x32554"
"UTTAR PRADESH","09","ALIGARH","119","UTTAR PRADESH, ALIGARH","UTTAR PRADESH, ALIGARH","x09119"
"MADHYA PRADESH","23","ALIRAJPUR","639","MADHYA PRADESH, ALIRAJPUR","MADHYA PRADESH, ALIRAJPUR","x23639"
"UTTARAKHAND","05","ALMORA","045","UTTARAKHAND, ALMORA","UTTARAKHAND, ALMORA","x05045"
"RAJASTHAN","08","ALWAR","087","RAJASTHAN, ALWAR","RAJASTHAN, ALWAR","x08087"
"UTTAR PRADESH","09","AMBEDKARNAGAR","121","UTTAR PRADESH, AMBEDKARNAGAR","UTTAR PRADESH, AMBEDKARNAGAR","x09121"
"UTTAR PRADESH","09","AMETHI","640","UTTAR PRADESH, AMETHI","UTTAR PRADESH, AMETHI","x09640"
"UTTAR PRADESH","09","AMROHA","154","UTTAR PRADESH, AMROHA","UTTAR PRADESH, AMROHA","x09154"
"ANDHRA PRADESH","28","ANANTAPUR","502","ANDHRA PRADESH, ANANTAPUR","ANDHRA PRADESH, ANANTAPUR","x28502"
"ODISHA","21","ANUGUL","344","ODISHA, ANUGUL","ODISHA, ANUGUL","x21344"
"MADHYA PRADESH","23","ANUPPUR","390","MADHYA PRADESH, ANUPPUR","MADHYA PRADESH, ANUPPUR","x23390"
"GUJARAT","24","ARAVALLI","672","GUJARAT, ARAVALLI","GUJARAT, ARAVALLI","x24672"
"MADHYA PRADESH","23","ASHOKNAGAR","391","MADHYA PRADESH, ASHOKNAGAR","MADHYA PRADESH, ASHOKNAGAR","x23391"
"UTTAR PRADESH","09","AURAIYA","122","UTTAR PRADESH, AURAIYA","UTTAR PRADESH, AURAIYA","x09122"
"UTTAR PRADESH","09","AZAMGARH","123","UTTAR PRADESH, AZAMGARH","UTTAR PRADESH, AZAMGARH","x09123"
"UTTAR PRADESH","09","BUDAUN","133","UTTAR PRADESH, BUDAUN","UTTAR PRADESH, BUDAUN","x09133"
"KARNATAKA","29","BAGALKOT","524","KARNATAKA, BAGALKOT","KARNATAKA, BAGALKOT","x29524"
"UTTARAKHAND","05","BAGESHWAR","046","UTTARAKHAND, BAGESHWAR","UTTARAKHAND, BAGESHWAR","x05046"
"UTTAR PRADESH","09","BAGHPAT","124","UTTAR PRADESH, BAGHPAT","UTTAR PRADESH, BAGHPAT","x09124"
"UTTAR PRADESH","09","BAHRAICH","125","UTTAR PRADESH, BAHRAICH","UTTAR PRADESH, BAHRAICH","x09125"
"MADHYA PRADESH","23","BALAGHAT","392","MADHYA PRADESH, BALAGHAT","MADHYA PRADESH, BALAGHAT","x23392"
"ODISHA","21","BOLANGIR (BALANGIR)","345","ODISHA, BOLANGIR (BALANGIR)","ODISHA, BOLANGIR (BALANGIR)","x21345"
"ODISHA","21","BALASORE (BALESHWAR)","346","ODISHA, BALASORE (BALESHWAR)","ODISHA, BALASORE (BALESHWAR)","x21346"
"KARNATAKA","29","BALLARI","528","KARNATAKA, BALLARI","KARNATAKA, BALLARI","x29528"
"UTTAR PRADESH","09","BALLIA","126","UTTAR PRADESH, BALLIA","UTTAR PRADESH, BALLIA","x09126"
"CHHATTISGARH","22","BALOD","646","CHHATTISGARH, BALOD","CHHATTISGARH, BALOD","x22646"
"CHHATTISGARH","22","BALODA BAZAR","644","CHHATTISGARH, BALODA BAZAR","CHHATTISGARH, BALODA BAZAR","x22644"
"CHHATTISGARH","22","BALRAMPUR","649","CHHATTISGARH, BALRAMPUR","CHHATTISGARH, BALRAMPUR","x22649"
"UTTAR PRADESH","09","BALRAMPUR","127","UTTAR PRADESH, BALRAMPUR","UTTAR PRADESH, BALRAMPUR","x09127"
"GUJARAT","24","BANAS KANTHA","441","GUJARAT, BANAS KANTHA","GUJARAT, BANAS KANTHA","x24441"
"UTTAR PRADESH","09","BANDA","128","UTTAR PRADESH, BANDA","UTTAR PRADESH, BANDA","x09128"
"RAJASTHAN","08","BANSWARA","088","RAJASTHAN, BANSWARA","RAJASTHAN, BANSWARA","x08088"
"UTTAR PRADESH","09","BARABANKI","129","UTTAR PRADESH, BARABANKI","UTTAR PRADESH, BARABANKI","x09129"
"ODISHA","21","BARAGARH","347","ODISHA, BARAGARH","ODISHA, BARAGARH","x21347"
"RAJASTHAN","08","BARAN","089","RAJASTHAN, BARAN","RAJASTHAN, BARAN","x08089"
"UTTAR PRADESH","09","BAREILLY","130","UTTAR PRADESH, BAREILLY","UTTAR PRADESH, BAREILLY","x09130"
"RAJASTHAN","08","BARMER","090","RAJASTHAN, BARMER","RAJASTHAN, BARMER","x08090"
"MADHYA PRADESH","23","BARWANI","393","MADHYA PRADESH, BARWANI","MADHYA PRADESH, BARWANI","x23393"
"CHHATTISGARH","22","BASTAR","374","CHHATTISGARH, BASTAR","CHHATTISGARH, BASTAR","x22374"
"UTTAR PRADESH","09","BASTI","131","UTTAR PRADESH, BASTI","UTTAR PRADESH, BASTI","x09131"
"KARNATAKA","29","BELAGAVI","527","KARNATAKA, BELAGAVI","KARNATAKA, BELAGAVI","x29527"
"CHHATTISGARH","22","BEMETARA","650","CHHATTISGARH, BEMETARA","CHHATTISGARH, BEMETARA","x22650"
"KARNATAKA","29","BENGALURU RURAL","526","KARNATAKA, BENGALURU RURAL","KARNATAKA, BENGALURU RURAL","x29526"
"KARNATAKA","29","BENGALURU URBAN","525","KARNATAKA, BENGALURU URBAN","KARNATAKA, BENGALURU URBAN","x29525"
