st_code,di_code,districts,state,mean_monthly_avg_rd_MD,mean_monthly_avg_rd_MN,prep_year,precip_sum_mm,precip_mean_mm,mean_tmax
36,501,adilabad,telangana,0.808605625,0.743530562,2024,288.7385864,57.74771729,31.98519193
23,667,agar malwa,madhya pradesh,0.89962857,0.896884662,2024,282.9464111,56.58928223,30.929334
9,118,agra,uttar pradesh,2.711560973,2.685020437,2024,130.1307373,43.37691243,30.88600328
27,466,ahamadnagar,maharashtra,1.554661914,1.38241766,2024,1069.163086,48.59832209,30.88446723
24,438,ahmadabad,gujarat,3.855509183,3.621733668,2024,462.4945374,42.04495794,33.29485596
15,261,aizawl,mizoram,0.501712022,0.478284866,2024,526.8280029,87.80466715,27.56618827
8,86,ajmer,rajasthan,1.536614959,1.499286769,2024,533.2705688,35.55137126,31.38871413
27,467,akola,maharashtra,1.165843615,1.015186376,2024,432.5529785,61.79328265,31.38332591
32,554,alappuzha,kerala,2.059937714,1.706266435,2024,276.7258301,138.362915,29.54330444
9,119,aligarh,uttar pradesh,2.152397395,2.139074447,2024,284.1051636,47.3508606,30.4400613
19,664,alipur duar,west bengal,0.859103168,0.790128515,2024,692.3040161,138.4608032,28.00414429
23,639,alirajpur,madhya pradesh,0.700017758,0.69416958,2024,315.5603027,63.11206055,31.00317852
5,45,almora,uttarakhand,0.669174292,0.725284508,2024,500.2491455,100.0498291,22.49306077
8,87,alwar,rajasthan,1.854763651,1.833180739,2024,469.6452637,33.54609026,30.61062256
27,468,amaravati,maharashtra,0.947492704,0.834669213,2024,1044.84082,65.30255127,30.94952196
6,58,ambala,haryana,3.531496366,3.466877678,2024,85.42203522,42.71101761,29.42024536
9,121,ambedkarnagar,uttar pradesh,1.562011076,1.557176921,2024,180.5809937,60.19366455,30.79881592
9,640,amethi,uttar pradesh,1.637453434,1.609956827,2024,176.7085266,44.17713165,30.85205587
24,439,amreli,gujarat,0.883666161,0.869470609,2024,441.0593262,44.10593262,31.62586612
3,27,amritsar,punjab,3.530938817,3.449568679,2024,61.17891312,30.58945656,29.81329854
9,154,amroha,uttar pradesh,2.013900124,1.963152029,2024,127.5559616,42.51865387,29.5133445
24,440,anand,gujarat,1.895058277,1.823312819,2024,279.9919739,55.99839478,32.56336153
28,502,anantapur,andhra pradesh,0.76024535,0.731127253,2024,1070.532349,41.1743211,32.43698629
1,1,anantnag,jammu & kashmir,0.726248319,0.718857411,2024,128.1801758,42.72672526,10.64085943
12,628,anjaw,arunachal pradesh,0.317809597,0.305203154,2024,1323.864136,132.3864136,12.54131622
21,344,anugul,odisha,1.401816548,1.397120908,2024,772.8688354,77.28688354,31.00691833
23,390,anuppur,madhya pradesh,0.916962335,0.898405585,2024,305.1463623,61.02927246,29.190271
10,188,araria,bihar,1.177265261,1.138329817,2024,286.2587891,71.56469727,30.07146962
24,672,aravalli,gujarat,0.968309016,0.928327137,2024,201.8884583,40.37769165,31.70432692
33,610,ariyalur,tamil nadu,1.735024875,1.646532794,2024,155.6645508,51.88818359,32.92211914
10,611,arwal,bihar,1.547560054,1.456946871,2024,49.58879852,49.58879852,31.11027718
23,391,ashoknagar,madhya pradesh,0.799755911,0.760302667,2024,354.2744751,59.04574585,30.44100749
9,122,auraiya,uttar pradesh,2.118351962,2.141496209,2024,90.41177368,45.20588684,30.89777527
10,189,aurangabad,bihar,1.528354459,1.374532145,2024,161.2309113,53.74363708,30.9023604
