di_code,dist23,st_code,state23,pred_per_diff,FlowAcc_sum,GFD_sum,mean_monthly_avg_rd_MD,mean_monthly_avg_rd_MN,precip_sum_mm,precip_mean_mm,mean_tmax,highersecondaryabove_district,vulnerability_district,anger,positive,anticipation,joy,surprise,trust,fear,negative,disgust,sadness,emotion_total,Tone_Avg,Tone_Positive,Tone_Negative,Tone_Polarity,Tone_ActivityRef,Tone_SelfGroupRef,anger_share,fear_share,sadness_share,joy_share,disgust_share,surprise_share,anticipation_share,trust_share,anger_intensity,fear_intensity,sadness_intensity,joy_intensity,disgust_intensity,surprise_intensity,anticipation_intensity,trust_intensity,flood_news_count
8,KUPWARA,1,JAMMU & KASHMIR,9.95179382596483,1578699.8117647062,1051.7803921568625,0.59219472,0.560303887,213.0928192,53.2732048,13.87476418,-0.3608314854039348,1.8727511270353576,3.0,10.0,6.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,22.0,-2.643171806,0.440528634,3.083700441,3.524229075,19.82378855,0.0,0.136363636,0.136363636,0.090909091,0.090909091,0.045454545,0.045454545,0.272727273,0.181818182,0.013043478,0.013043478,0.008695652,0.008695652,0.004347826,0.004347826,0.026086957,0.017391304,1.0
2,BADGAM,1,JAMMU & KASHMIR,2.77655675779723,802218.56862745,3075.6039215686287,1.522485322,1.467855567,250.0730438,83.35768127,15.27257538,-0.3209438850178938,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PUNCH,1,JAMMU & KASHMIR,18.4624425281929,10045820.57254902,247.12549019607843,0.963361707,0.962802799,268.8533325,53.7706665,19.80024821,-0.228072350368325,-0.8161955988788456,3.0,11.0,3.0,1.0,1.0,3.0,6.0,9.0,0.0,4.0,21.0,-3.333333333,0.833333333,4.166666667,5.0,16.25,0.0,0.142857143,0.285714286,0.19047619,0.047619048,0.0,0.047619048,0.142857143,0.142857143,0.012931034,0.025862069,0.017241379,0.004310345,0.0,0.004310345,0.012931034,0.012931034,1.0
12,RAJAURI,1,JAMMU & KASHMIR,-7.00357740338311,1719526.9686274503,20.823529411764707,1.09525397,1.120406996,217.3729248,54.3432312,23.02574615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KATHUA,1,JAMMU & KASHMIR,5.55008325802603,3559942.6862745103,7526.807843137254,1.283567074,1.282421931,361.1072693,72.22145386,23.64694491,-0.1531139084924148,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BARAMULA,1,JAMMU & KASHMIR,21.6339264564123,11523407.619607847,4913.56862745098,0.890313254,0.859099667,179.5426788,59.84755961,16.35761414,-0.0560802778692467,-0.8161955988788456,5.0,16.0,10.0,5.0,3.0,16.0,13.0,13.0,3.0,9.0,64.0,-3.237410072,2.158273381,5.395683453,7.553956835,18.34532374,0.179856115,0.078125,0.203125,0.140625,0.078125,0.046875,0.046875,0.15625,0.25,0.009615385,0.025,0.017307692,0.009615385,0.005769231,0.005769231,0.019230769,0.030769231,1.0
623,BANDIPURA,1,JAMMU & KASHMIR,20.9571949459601,6508651.337254908,16914.568627450983,0.517951081,0.485147185,319.3165894,53.21943156,7.439146154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SRINAGAR,1,JAMMU & KASHMIR,27.4845609586613,2037538.2705882357,4286.200000000001,8.085372465,7.699391645,91.18547058,91.18547058,15.15391922,1.5490535432541106,0.634597479467256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,GANDERBAL,1,JAMMU & KASHMIR,13.3261566826145,1329108.5764705886,483.8117647058823,0.884460345,0.858856909,126.4735489,42.15784963,8.532266998,-0.4141799769685845,-0.8161955988788456,9.0,33.0,10.0,8.0,9.0,30.0,14.0,23.0,6.0,14.0,100.0,-5.2031881455,1.0814249365,6.2846130815,7.366038017999999,24.898031735,0.127226463,0.0982384825,0.1070460705,0.150406504,0.070460705,0.0799457995,0.054878049,0.082655827,0.3563685635,0.0119905,0.0121401405,0.018309166,0.008259157,0.0100500085,0.005821475,0.0095528184999999,0.044081018,2.0
11,PULWAMA,1,JAMMU & KASHMIR,17.9088923521277,1753550.996078429,1041.8666666666666,1.337251025,1.296178701,85.51634979,85.51634979,15.10386658,0.2951800613565025,-0.8161955988788456,15.0,66.0,18.0,11.0,5.0,48.0,27.0,31.0,6.0,12.0,142.0,-4.9619801365,1.20965239,6.1716325265,7.381284916,20.840316575,0.4632216015,0.0890985325,0.2007337525,0.0932914045,0.0885744235,0.0374737945,0.0511006289999999,0.1215932915,0.318134172,0.009202677,0.0207444965,0.009641966,0.009155111,0.003871056,0.005284055,0.0125630955,0.032868303,2.0
625,SHUPIYAN,1,JAMMU & KASHMIR,-11.6423353460241,185951.96862745093,234.01568627450985,0.928534885,0.945593576,124.9031677,124.9031677,14.34805679,-0.2013579900962941,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANANTNAG,1,JAMMU & KASHMIR,6.5866661492413,1112507.3490196078,386.57254901960783,0.726248319,0.718857411,128.1801758,42.72672526,10.64085943,-0.2815373054742899,-0.0890123687226098,5.0,18.0,6.0,5.0,9.0,10.0,17.0,22.0,1.0,8.0,61.0,-4.907613448,1.9914106263333335,6.899024074333333,8.890434700333333,21.166266656666668,0.27100271,0.0958605663333333,0.2803753979999999,0.1161387633333333,0.0879839113333333,0.0185185186666666,0.1210826213333333,0.0951064183333333,0.1849338023333333,0.0066349206666666,0.026100936,0.0136345136666666,0.007154253,0.0013333333333333,0.015985348,0.0094839233333333,0.0137785916666666,3.0
622,KULGAM,1,JAMMU & KASHMIR,-15.2738473895807,954723.2588235292,402.0156862745098,0.744816416,0.741341324,203.651886,101.825943,14.91880798,-0.3159742737040041,-0.0648397030369757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DODA,1,JAMMU & KASHMIR,10.6587332736517,11714586.89019607,516.2470588235294,0.615561536,0.622496571,319.628479,79.90711975,14.68904583,-0.2709883544885068,0.4958256925602188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,RAMBAN,1,JAMMU & KASHMIR,23.9330476568707,7803925.63529411,78.12549019607843,0.892404485,0.915234473,131.3463745,65.67318726,17.17607771,-0.9024901244959938,-0.8161955988788456,0.0,12.0,5.0,2.0,1.0,6.0,0.0,1.0,1.0,1.0,16.0,-3.278688525,4.918032787,8.196721311,13.1147541,27.86885246,0.0,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.3125,0.375,0.0,0.0,0.010989011,0.021978022,0.010989011,0.010989011,0.054945055,0.065934066,1.0
620,KISHTWAR,1,JAMMU & KASHMIR,17.0887698868103,18147284.17254903,2958.141176470588,0.516460876,0.518443331,758.357666,47.39735413,4.748200378,-0.4784824584048546,-0.8161955988788456,6.0,21.0,6.0,5.0,6.0,16.0,19.0,25.0,4.0,17.0,79.0,-3.766478343,2.071563089,5.838041431,7.90960452,21.09227872,0.0,0.075949367,0.240506329,0.215189873,0.063291139,0.050632911,0.075949367,0.075949367,0.202531646,0.011278195,0.035714286,0.031954887,0.009398496,0.007518797,0.011278195,0.011278195,0.030075188,1.0
14,UDHAMPUR,1,JAMMU & KASHMIR,17.0816542972193,1192937.4901960776,45.65882352941176,1.033150662,1.066985358,200.7780151,66.92600505,21.12735596,-0.4443880350751035,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,RIASI,1,JAMMU & KASHMIR,-15.9541394125104,13946027.04705882,407.9490196078431,0.686036268,0.69139121,406.0635376,135.3545125,26.58320279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,JAMMU,1,JAMMU & KASHMIR,-3.09922167871681,15369102.933333345,1060.2823529411762,3.538927961,3.457636609,251.3592072,50.27184143,27.79994202,1.3001077430561383,-0.3871720802442672,110.0,318.0,143.0,90.0,84.0,225.0,202.0,287.0,45.0,138.0,1037.0,-2.7943824922916662,1.9677980989583332,4.76218059125,6.7299786902916665,22.083496513750003,0.562733606625,0.0927548558333333,0.2027656112916666,0.1286284407083333,0.0813872744583333,0.0557312852083333,0.061777467125,0.1350382286666666,0.2419168366666666,0.0100010662916666,0.0236956495,0.015671919875,0.0100444583333333,0.0055050805,0.0080749690416666,0.0148114164583333,0.027887167625,24.0
624,SAMBA,1,JAMMU & KASHMIR,2.41743995618883,241412.9568627451,8.0,2.912238515,2.827579567,47.35911179,47.35911179,27.73933716,0.1057258284185908,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CHAMBA,2,HIMACHAL PRADESH,21.0833934450997,8063499.976470592,2214.3176470588232,0.51443007,0.524961369,710.9816284,64.63469349,11.1911714,-0.3336106047477755,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,KANGRA,2,HIMACHAL PRADESH,20.1639409526606,15744372.929411758,21291.80784313726,0.788301113,0.798773403,504.7861633,63.09827042,20.99251258,0.925408307651489,0.6934936837374791,20.0,54.0,37.0,13.0,28.0,18.0,66.0,72.0,11.0,37.0,230.0,-4.097250584,0.813597254,4.910847838142857,5.724445092142857,19.553467492857145,0.0793675289999999,0.0782019084285714,0.2752544731428571,0.151406901,0.0626947147142857,0.0419501841428571,0.1363027077142857,0.1734200151428571,0.0807690951428571,0.0084440134285714,0.0280268348571428,0.0153465272857142,0.0058150374285714,0.0045049794285714,0.013749278,0.0169566254285714,0.0077531422857142,7.0
21,LAHUL & SPITI,2,HIMACHAL PRADESH,27.7886955146599,13600466.07450982,11307.807843137254,0.463476375,0.460467842,603.3314209,33.51841227,0.338723696,0.8958156645449501,0.1372923690893596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,KULLU,2,HIMACHAL PRADESH,16.6041654801215,16619689.403921574,864.3098039215686,0.548684367,0.556066146,613.8300781,68.20334201,8.594989353,0.2313295719902352,0.9054121874251952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MANDI,2,HIMACHAL PRADESH,-2.90936684173156,33062923.560784295,98.65882352941176,0.698077276,0.728486462,335.7008667,67.14017334,21.1890346,0.7573888172437152,0.651412905009311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HAMIRPUR,2,HIMACHAL PRADESH,9.45387065396681,2128729.023529411,40.47058823529411,0.843033678,0.875116391,107.2720413,53.63602066,24.6526947,1.3095591597847351,0.0646430558312876,20.0,50.0,21.0,8.0,13.0,22.0,25.0,34.0,4.0,21.0,134.0,-5.16568867175,0.8044678715,5.970156543250001,6.7746244145,19.666298769999997,0.20833333325,0.1684139785,0.21653225825,0.18319892475,0.04502688175,0.0411290324999999,0.11088709675,0.13924731175,0.09556451625,0.0224011964999999,0.027017525,0.0243796215,0.00501682125,0.0053029805,0.01347770725,0.0156285115,0.010405945,4.0
26,UNA,2,HIMACHAL PRADESH,15.4297162699296,3462470.466666666,3317.0,1.216949593,1.2570741,109.6777649,54.83888245,27.99186925,0.7084019360399013,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BILASPUR,2,HIMACHAL PRADESH,12.1559459372536,41735699.227451056,3912.0392156862745,2.161108589,2.113873713,81.58862305,40.79431152,25.55572255,1.060642973189237,-0.8161955988788456,8.0,62.0,31.0,26.0,14.0,30.0,30.0,29.0,2.0,22.0,163.0,-0.476152299,3.542750473,4.01890277225,7.56165324525,17.588664275,0.0,0.0486024845,0.18571816775,0.1354425464999999,0.158090062,0.01257763975,0.081884705,0.1888800465,0.18880434775,0.0050967027499999,0.021689248,0.01981592175,0.02971615575,0.0012603045,0.01497587025,0.03106362425,0.03157613025,4.0
25,SOLAN,2,HIMACHAL PRADESH,16.9637759393227,4711223.192156866,21.490196078431374,1.848830246,1.870513172,104.9963455,34.99878184,25.90689697,0.850497347256043,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
