system:index,GEOID,GFD_sum,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,.geo
00000000000000000107,x35603,0.0,"ANDAMAN & NICOBAR, NICOBAR",1.85189639602E9,956102.108796,603,NICOBAR,35,"ANDAMAN & NICOBAR, NICOBAR",ANDAMAN & NICOBAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b,x35632,0.0,"ANDAMAN & NICOBAR, NORTH & MIDDLE ANDAMAN",3.43887502259E9,3083245.68362,632,NORTH & MIDDLE ANDAMAN,35,"ANDAMAN & NICOBAR, NORTH & MIDDLE ANDAMAN",ANDAMAN & NICOBAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000155,x35602,0.0,"ANDAMAN & NICOBAR, SOUTH ANDAMAN",2.54650428091E9,1785415.55064,602,SOUTH ANDAMAN,35,"ANDAMAN & NICOBAR, SOUTH ANDAMAN",ANDAMAN & NICOBAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,x28502,3217.8196078431374,"ANDHRA PRADESH, ANANTAPUR",1.91655566434E10,1524559.50705,502,ANANTAPUR,28,"ANDHRA PRADESH, ANANTAPUR",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,x28503,2392.3843137254903,"ANDHRA PRADESH, CHITTOOR",1.49075478284E10,1287744.15934,503,CHITTOOR,28,"ANDHRA PRADESH, CHITTOOR",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,x28504,12005.207843137257,"ANDHRA PRADESH, Y S R KADAPA",1.51552694485E10,796144.609422,504,Y S R KADAPA,28,"ANDHRA PRADESH, Y S R KADAPA",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,x28505,22951.552941176462,"ANDHRA PRADESH, EAST GODAVARI",1.2589817609E10,1004317.88398,505,EAST GODAVARI,28,"ANDHRA PRADESH, EAST GODAVARI",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,x28506,15598.576470588228,"ANDHRA PRADESH, GUNTUR",1.11598965119E10,800649.102983,506,GUNTUR,28,"ANDHRA PRADESH, GUNTUR",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0,x28510,36553.2823529412,"ANDHRA PRADESH, KRISHNA",8.56115131405E9,832126.822502,510,KRISHNA,28,"ANDHRA PRADESH, KRISHNA",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2,x28511,25371.65882352939,"ANDHRA PRADESH, KURNOOL",1.70775479543E10,894651.282742,511,KURNOOL,28,"ANDHRA PRADESH, KURNOOL",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,x28515,61325.89019607838,"ANDHRA PRADESH, POTTI SRIRAMULU NELLORE",1.30564818344E10,669181.757083,515,POTTI SRIRAMULU NELLORE,28,"ANDHRA PRADESH, POTTI SRIRAMULU NELLORE",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,x28517,9203.482352941182,"ANDHRA PRADESH, PRAKASAM",1.7294622747E10,875362.028126,517,PRAKASAM,28,"ANDHRA PRADESH, PRAKASAM",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a,x28519,8195.478431372552,"ANDHRA PRADESH, SRIKAKULAM",5.66301497795E9,691140.075227,519,SRIKAKULAM,28,"ANDHRA PRADESH, SRIKAKULAM",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000175,x28520,2767.2549019607845,"ANDHRA PRADESH, VISAKHAPATNAM",1.12575378147E10,977103.623218,520,VISAKHAPATNAM,28,"ANDHRA PRADESH, VISAKHAPATNAM",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000176,x28521,969.1764705882354,"ANDHRA PRADESH, VIZIANAGARAM",5.96466329864E9,826083.795254,521,VIZIANAGARAM,28,"ANDHRA PRADESH, VIZIANAGARAM",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b,x28523,16879.30588235294,"ANDHRA PRADESH, WEST GODAVARI",8.12109774797E9,622619.446135,523,WEST GODAVARI,28,"ANDHRA PRADESH, WEST GODAVARI",ANDHRA PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ba,x12628,73.0,"ARUNACHAL PRADESH, ANJAW",5.81274971916E9,389633.475618,628,ANJAW,12,"ARUNACHAL PRADESH, ANJAW",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d0,x12229,78.93333333333334,"ARUNACHAL PRADESH, CHANGLANG",4.77411929839E9,585539.158236,229,CHANGLANG,12,"ARUNACHAL PRADESH, CHANGLANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d5,x12230,95.76470588235296,"ARUNACHAL PRADESH, DIBANG VALLEY",9.27538688201E9,585432.566276,230,DIBANG VALLEY,12,"ARUNACHAL PRADESH, DIBANG VALLEY",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d7,x12231,30.2078431372549,"ARUNACHAL PRADESH, EAST KAMENG",4.25715203224E9,393940.016192,231,EAST KAMENG,12,"ARUNACHAL PRADESH, EAST KAMENG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000202,x12233,19.0,"ARUNACHAL PRADESH, KURUNG KUMEY",4.29393600541E9,350111.364373,233,KURUNG KUMEY,12,"ARUNACHAL PRADESH, KURUNG KUMEY",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000206,x12234,5705.054901960784,"ARUNACHAL PRADESH, LOHIT",2.95077501621E9,380960.13076,234,LOHIT,12,"ARUNACHAL PRADESH, LOHIT",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000207,x12235,414.82745098039214,"ARUNACHAL PRADESH, LOWER DIBANG VALLEY",3.42327424454E9,406120.977157,235,LOWER DIBANG VALLEY,12,"ARUNACHAL PRADESH, LOWER DIBANG VALLEY",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000229,x12237,15.109803921568627,"ARUNACHAL PRADESH, PAPUMPARE",3.32453241456E9,429256.816125,237,PAPUMPARE,12,"ARUNACHAL PRADESH, PAPUMPARE",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000251,x12238,434.98039215686276,"ARUNACHAL PRADESH, TAWANG",2.37167683822E9,311006.712835,238,TAWANG,12,"ARUNACHAL PRADESH, TAWANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000254,x12239,0.0,"ARUNACHAL PRADESH, TIRAP",1.13250213745E9,184942.10308,239,TIRAP,12,"ARUNACHAL PRADESH, TIRAP",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256,x12240,28.16862745098039,"ARUNACHAL PRADESH, UPPER SIANG",6.48980507694E9,478881.591212,240,UPPER SIANG,12,"ARUNACHAL PRADESH, UPPER SIANG",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257,x12241,47.70196078431373,"ARUNACHAL PRADESH, UPPER SUBANSIRI",6.26808549083E9,476128.575102,241,UPPER SUBANSIRI,12,"ARUNACHAL PRADESH, UPPER SUBANSIRI",ARUNACHAL PRADESH,"{""type"":""MultiPoint"",""coordinates"":[]}"
