system:index,GEOID,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,sum,.geo
00000000000000000107,x35603,"ANDAMAN & NICOBAR, NICOBAR",1.85189639602E9,956102.108796,603,NICOBAR,35,"ANDAMAN & NICOBAR, NICOBAR",ANDAMAN & NICOBAR,92354.51764705875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b,x35632,"ANDAMAN & NICOBAR, NORTH & MIDDLE ANDAMAN",3.43887502259E9,3083245.68362,632,NORTH & MIDDLE ANDAMAN,35,"ANDAMAN & NICOBAR, NORTH & MIDDLE ANDAMAN",ANDAMAN & NICOBAR,188807.36470588215,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000155,x35602,"ANDAMAN & NICOBAR, SOUTH ANDAMAN",2.54650428091E9,1785415.55064,602,SOUTH ANDAMAN,35,"ANDAMAN & NICOBAR, SOUTH ANDAMAN",ANDAMAN & NICOBAR,108992.86666666658,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,x28502,"ANDHRA PRADESH, ANANTAPUR",1.91655566434E10,1524559.50705,502,ANANTAPUR,28,"ANDHRA PRADESH, ANANTAPUR",ANDHRA PRADESH,3.839905182352936E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,x28503,"ANDHRA PRADESH, CHITTOOR",1.49075478284E10,1287744.15934,503,CHITTOOR,28,"ANDHRA PRADESH, CHITTOOR",ANDHRA PRADESH,6745905.470588246,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,x28504,"ANDHRA PRADESH, Y S R KADAPA",1.51552694485E10,796144.609422,504,Y S R KADAPA,28,"ANDHRA PRADESH, Y S R KADAPA",ANDHRA PRADESH,6.739227844705874E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,x28505,"ANDHRA PRADESH, EAST GODAVARI",1.2589817609E10,1004317.88398,505,EAST GODAVARI,28,"ANDHRA PRADESH, EAST GODAVARI",ANDHRA PRADESH,5.593525425960788E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,x28506,"ANDHRA PRADESH, GUNTUR",1.11598965119E10,800649.102983,506,GUNTUR,28,"ANDHRA PRADESH, GUNTUR",ANDHRA PRADESH,4.079650794156863E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0,x28510,"ANDHRA PRADESH, KRISHNA",8.56115131405E9,832126.822502,510,KRISHNA,28,"ANDHRA PRADESH, KRISHNA",ANDHRA PRADESH,2.189826643607847E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2,x28511,"ANDHRA PRADESH, KURNOOL",1.70775479543E10,894651.282742,511,KURNOOL,28,"ANDHRA PRADESH, KURNOOL",ANDHRA PRADESH,1.388774463921571E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
