DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Country,Location,State,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2022-0219-IND,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,India,Assam State,Assam,,Flood|Lightening,No,No,No,,,Kph,,,,2022,4,1,2022,4,19,20,,95000,,95000,,,,,,,93.29460735,"[{""adm1_code"":1487,""adm1_name"":""Assam""}]",2022-04-19,2023-09-25
2022-0248-IND,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,India,"Maharashtra State, West Rajasthan",Maharashtra,,,No,No,No,,45,°C,,,,2022,3,,2022,4,,25,,,,,,,,,,,93.29460735,,2022-04-29,2025-03-18
2022-0293-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Itanagar distrci (Arunchal Pradesh); Dima Hasao, Cachar, Udalguri District (Assam); East Khasi Hills, Ri-Bhoi Districts (Meghalaya); Nagaland; Bihar; Himachal Pradesh; Madhya Pradesh; Gujarat; Maharasthra",Arunchal Pradesh,Heavy rains,"Lightening|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Kopili river,2022,5,17,2022,10,31,2035,1260,1300000,,1301260,,,,,4200000,4501868,93.29460735,,2022-05-16,2023-09-25
2022-0395-IND,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,India,"Tapul village (Noney District, Manipur State); Mumbai",Manipur,Heavy rains,,No,No,No,,,,,,,2022,6,30,2022,7,6,67,,,,,,,,,,,93.29460735,"[{""adm1_code"":1500,""adm1_name"":""Manipur""},{""adm2_code"":70184,""adm2_name"":""Mumbai city""}]",2022-07-05,2023-09-26
2022-0395-IND,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,India,"Tapul village (Noney District, Manipur State); Mumbai",Maharashtra,Heavy rains,,No,No,No,,,,,,,2022,6,30,2022,7,6,67,,,,,,,,,,,93.29460735,"[{""adm1_code"":1500,""adm1_name"":""Manipur""},{""adm2_code"":70184,""adm2_name"":""Mumbai city""}]",2022-07-05,2023-09-26
2022-0539-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Himachal Pradesh, Uttarakhand and Jharkhand States",Uttarakhand,,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,8,,2022,8,22,63,,800000,,800000,,,,,,,93.29460735,"[{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":70078,""adm1_name"":""Jharkhand""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""}]",2022-08-22,2023-09-26
2022-0539-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Himachal Pradesh, Uttarakhand and Jharkhand States",Jharkhand,,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,8,,2022,8,22,63,,800000,,800000,,,,,,,93.29460735,"[{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":70078,""adm1_name"":""Jharkhand""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""}]",2022-08-22,2023-09-26
2022-0539-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,"Himachal Pradesh, Uttarakhand and Jharkhand States",Himachal Pradesh,,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,8,,2022,8,22,63,,800000,,800000,,,,,,,93.29460735,"[{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":70078,""adm1_name"":""Jharkhand""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""}]",2022-08-22,2023-09-26
2022-0590-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,India,Uttar Pradesh,Uttar Pradesh,Monsoonal rains,,No,No,No,,,Km2,,,,2022,9,18,2022,9,24,,,,,,,,,,,,93.29460735,"[{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2022-09-20,2023-09-26
2022-0798-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Mandous',India,Tamil Nadu,Tamil Nadu,,,No,No,No,,,Kph,,,,2022,12,9,2022,12,9,,,,,,,,,,,,93.29460735,"[{""adm1_code"":1508,""adm1_name"":""Tamil Nadu""}]",2022-12-09,2023-09-26
