DISTRICT_I,NAME,STATE_UT,PM2.5_mean_2019,sd_2019
676,North & Middle Andaman,Andaman & Nicobar Islands,NA,NA
801,South Andaman,Andaman & Nicobar Islands,NA,NA
875,Nicobars,Andaman & Nicobar Islands,NA,NA
614,Adilabad,Andhra Pradesh,31.65357725,10.6373541
623,Srikakulam,Andhra Pradesh,29.41208056,13.19751543
624,Vizianagaram,Andhra Pradesh,30.2273019,12.2166362
626,Karimnagar,Andhra Pradesh,31.82291334,12.76290964
628,Nizamabad,Andhra Pradesh,32.49153602,12.66785986
632,Khammam,Andhra Pradesh,26.85345897,10.68308503
633,Warangal,Andhra Pradesh,28.3347918,10.76493252
635,Visakhapatnam,Andhra Pradesh,26.46760764,11.59721169
637,Medak,Andhra Pradesh,33.97234242,14.2172938
640,East Godavari,Andhra Pradesh,24.99604567,12.60245476
641,Nalgonda,Andhra Pradesh,30.24257735,12.57931481
643,Rangareddy,Andhra Pradesh,37.334214,16.84972753
645,Hyderabad,Andhra Pradesh,40.6286964,18.57219864
646,West Godavari,Andhra Pradesh,28.13892858,14.58847102
649,Mahbubnagar,Andhra Pradesh,30.54849541,13.23388122
650,Krishna,Andhra Pradesh,28.27808304,14.1782288
653,Guntur,Andhra Pradesh,28.08144402,13.52694622
658,Prakasam,Andhra Pradesh,24.09511804,9.927675302
659,Kurnool,Andhra Pradesh,26.18521529,10.17347467
667,Anantapur,Andhra Pradesh,25.02562376,9.473620294
668,Y.S.R,Andhra Pradesh,24.78525062,9.136264431
670,Sri Potti Sriramulu Nellore,Andhra Pradesh,23.81199984,8.93254928
683,Chittoor,Andhra Pradesh,25.50421112,9.072211745
86,Dibang Valley,Arunachal Pradesh,14.92085973,4.207977486
88,Upper Siang,Arunachal Pradesh,13.78187029,4.381194565
98,West Siang,Arunachal Pradesh,13.62540249,5.745054353
110,Upper Subansiri,Arunachal Pradesh,13.23743706,5.047568242
117,East Siang,Arunachal Pradesh,14.49572744,7.167153872
118,Lower Dibang Valley,Arunachal Pradesh,15.33617683,5.676421041
123,Anjaw,Arunachal Pradesh,16.05153283,4.70078525
128,Lohit,Arunachal Pradesh,15.50913438,6.339863484
130,Kurung Kumey,Arunachal Pradesh,12.77107552,4.695308367
140,Balemu East Kameng,Arunachal Pradesh,13.53143741,6.500335028
142,Lower Subansiri,Arunachal Pradesh,11.86037582,6.533111935
145,Tawang,Arunachal Pradesh,17.08483653,5.225919957
