"caseid","weight","wave","state","district","state_district","gender","age","caste","urban","n7ky23","n7ky23_recode"
10001,0.84054728184,"2024","NE","East Khasi Hills","NE, East Khasi Hills","Male","18-29","Scheduled Castes/Tribes","Urban","Very worried",1
10002,1.36088607536,"2024","UT","Leh","UT, Leh","Female","45+","Scheduled Castes/Tribes","Rural","Very worried",1
10003,0.64041697664,"2024","UT","Daman & Diu","UT, Daman & Diu","Male","30-44","Other Castes","Rural","Very worried",1
10004,0.57037136982,"2024","UT","Kargil","UT, Kargil","Male","30-44","Other Castes","Rural","Moderately worried",0
10005,0.99064501074,"2024","NE","East Sikkim","NE, East Sikkim","Female","18-29","Other Castes","Rural","Moderately worried",0
10006,1.37089259062,"2024","Gujarat","Ahmedabad","Gujarat, Ahmedabad","Male","18-29","Other Castes","Urban","Moderately worried",0
10007,0.67043652242,"2024","Gujarat","Bharuch","Gujarat, Bharuch","Male","18-29","Other Castes","Urban","Very worried",1
10008,0.76049515976,"2024","UT","Leh","UT, Leh","Male","18-29","Other Castes","Urban","Moderately worried",0
10009,0.6504234919,"2024","Gujarat","Patan","Gujarat, Patan","Male","18-29","Other Castes","Urban","Very worried",1
10010,0.61039743086,"2024","Gujarat","Surat","Gujarat, Surat","Male","45+","Other Castes","Urban","Not at all worried",0
10011,5.32346611832,"2024","UT","Kargil","UT, Kargil","Male","45+","Other Castes","Rural","Very worried",1
10012,0.46029970196,"2024","NE","Mokokchung","NE, Mokokchung","Male","30-44","Other Castes","Rural","Very worried",1
10013,0.86056031236,"2024","Gujarat","Tapi","Gujarat, Tapi","Male","30-44","Scheduled Castes/Tribes","Rural","Very worried",1
10014,0.7504886445,"2024","NE","Imphal West","NE, Imphal West","Male","45+","Other Castes","Rural","Very worried",1
10016,0.7504886445,"2024","NE","West Sikkim","NE, West Sikkim","Male","45+","Other Castes","Rural","Moderately worried",0
10017,0.34022151884,"2024","UT","Pondicherry","UT, Pondicherry","Male","30-44","Other Castes","Urban","Not at all worried",0
10018,1.0506841023,"2024","NE","Ri Bhoi","NE, Ri Bhoi","Male","18-29","Other Castes","Rural","Not at all worried",0
10020,1.99129653674,"2024","NE","West Garo Hills","NE, West Garo Hills","Male","18-29","Other Castes","Rural","Not at all worried",0
10021,1.08070364808,"2024","NE","West Garo Hills","NE, West Garo Hills","Male","45+","Other Castes","Urban","Moderately worried",0
10022,0.46029970196,"2024","UT","Pondicherry","UT, Pondicherry","Male","45+","Other Castes","Urban","Not at all worried",0
10023,0.81052773606,"2024","NE","West Garo Hills","NE, West Garo Hills","Male","18-29","Scheduled Castes/Tribes","Rural","Moderately worried",0
10024,0.9005863734,"2024","NE","North Garo Hills","NE, North Garo Hills","Male","18-29","Other Castes","Rural","Moderately worried",0
10025,0.53034530878,"2024","NE","South West Garo Hills","NE, South West Garo Hills","Male","18-29","Other Castes","Urban","Very worried",1
10027,0.51033227826,"2024","UT","Pondicherry","UT, Pondicherry","Male","45+","Other Castes","Rural","Moderately worried",0
10028,0.500325763,"2024","UT","Daman & Diu","UT, Daman & Diu","Male","30-44","Other Castes","Rural","Not at all worried",0
10029,0.47030621722,"2024","NE","Imphal West","NE, Imphal West","Male","30-44","Other Castes","Rural","Moderately worried",0
10030,0.82053425132,"2024","UT","Daman & Diu","UT, Daman & Diu","Male","45+","Other Castes","Rural","Not at all worried",0
10031,0.37024106462,"2024","NE","Imphal West","NE, Imphal West","Male","30-44","Other Castes","Urban","Very worried",1
10032,0.46029970196,"2024","NE","Imphal West","NE, Imphal West","Male","30-44","Other Castes","Urban","Very worried",1
10034,0.9005863734,"2024","NE","Khomia","NE, Khomia","Male","30-44","Other Castes","Rural","Moderately worried",0
