"Scenario","Classifier","N_Features","Accuracy","Precision","Recall","F1","AUC","Time_sec"
"M1_Demographics","RandomForest",5,0.5655,0.539,0.7077,0.612,0.5852,0.3
"M1_Demographics","GradientBoosting",5,0.566,0.5394,0.7099,0.613,0.5824,1
"M1_Demographics","LogisticRegression",5,0.5502,0.5388,0.4918,0.5143,0.568,0.1
"M1_Demographics","LightGBM",5,0.5502,0.5271,0.6892,0.5974,0.5654,1.8
"M2_Climate_Flood","RandomForest",20,0.5565,0.5375,0.602,0.5679,0.5861,0.3
"M2_Climate_Flood","GradientBoosting",20,0.5607,0.5472,0.5376,0.5424,0.5775,1
"M2_Climate_Flood","LogisticRegression",20,0.557,0.5523,0.4493,0.4955,0.573,0.4
"M2_Climate_Flood","LightGBM",20,0.538,0.5208,0.5736,0.5459,0.5505,1.9
"M3_With_Spatial","RandomForest",58,0.5803,0.5744,0.5136,0.5423,0.6138,0.3
"M3_With_Spatial","GradientBoosting",58,0.5982,0.5926,0.5442,0.5674,0.6408,2.5
"M3_With_Spatial","LogisticRegression",58,0.5713,0.5692,0.4711,0.5155,0.6,0.1
"M3_With_Spatial","LightGBM",58,0.6082,0.5952,0.5965,0.5959,0.6431,2.1
"M4_Everything","RandomForest",634,0.5639,0.575,0.3806,0.458,0.5997,1.6
"M4_Everything","GradientBoosting",634,0.5829,0.5871,0.4667,0.52,0.6217,23.1
"M4_Everything","LogisticRegression",634,0.4868,0.4789,0.6805,0.5622,0.4927,78.3
"M4_Everything","LightGBM",634,0.5845,0.569,0.5845,0.5767,0.6151,5.5
